Car	Automobile	3.92
Gemstone	Jewellery	3.84
Travel	Travel	3.84
Boy	Boy	3.76
Coast	Shore	3.7
Insane_asylum	Psychiatric_hospital	3.61
Magician_(fantasy)	Wizard_(fantasy)	3.5
Midday	Noon	3.42
Furnace	Stove	3.11
Food	Fruit	3.08
Bird	Rooster	3.05
Bird	Crane_(bird)	2.97
Tool	Tool	2.95
Brother	Monk	2.82
Crane_(machine)	Tool	1.68
Boy	Brother	1.66
Travel	Car	1.16
Monk	Oracle	1.1
Food	Rooster	0.89
Coast	Hill	0.87
Forest	Graveyard	0.84
Monk	Slavery	0.55
Coast	Forest	0.42
Boy	Wizard_(fantasy)	0.42
Rope	Smile	0.13
Glass	Magic_(illusion)	0.11
Rooster	Travel	0.08
Noon	Rope	0.08
