Renal_failure	Kidney_failure	4
Abortion	Miscarriage	3.3
Heart	Myocardium	3
Stroke	Infarct	2.8
Delusion	Schizophrenia	2.2
Calcification	Stenosis	2
Metastasis	Adenocarcinoma	1.8
Congestive_heart_failure	Pulmonary_edema	1.4
Pulmonary_fibrosis	Lung_cancer	1.4
Diarrhea	Abdominal_cramps	1.3
Mitral_stenosis	Atrial_fibrillation	1.3
Brain_tumor	Intracranial_hemorrhage	1.3
Antibiotic	Allergy	1.2
Pulmonary_embolus	Myocardial_infarction	1.2
Carpal_tunnel_syndrome	Osteoarthritis	1.1
Rheumatoid_arthritis	Lupus	1.1
Acne	Syringe	1
Diabetes_mellitus	Hypertension	1
Cortisone	Total_knee_replacement	1
Cholangiocarcinoma	Colonoscopy	1
Lymphoid_hyperplasia	Laryngeal_cancer	1
Appendicitis	Osteoporosis	1
Depressive_disorder	Cellulitis	1
Hyperlipidemia	Metastasis	1
Multiple_sclerosis	Psychosis	1
Peptic_ulcer_disease	Myopia	1
Rectal_polyp	Aorta	1
Varicose_vein	Meniscus_(knee)	1
Xerostomia	Alcoholic_cirrhosis	1
