Renal_failure	Kidney_failure	4
Abortion	Miscarriage	3
Heart	Myocardium	3.3
Stroke	Infarct	3
Delusion	Schizophrenia	3
Calcification	Stenosis	2.7
Metastasis	Adenocarcinoma	2.7
Congestive_heart_failure	Pulmonary_edema	3
Pulmonary_fibrosis	Lung_cancer	1.7
Diarrhea	Abdominal_cramps	2.3
Mitral_stenosis	Atrial_fibrillation	2.3
Brain_tumor	Intracranial_hemorrhage	2
Antibiotic	Allergy	1.7
Pulmonary_embolus	Myocardial_infarction	1.7
Carpal_tunnel_syndrome	Osteoarthritis	2
Rheumatoid_arthritis	Lupus	2
Acne	Syringe	2
Diabetes_mellitus	Hypertension	2
Cortisone	Total_knee_replacement	1.7
Cholangiocarcinoma	Colonoscopy	1.3
Lymphoid_hyperplasia	Laryngeal_cancer	1.3
Appendicitis	Osteoporosis	1
Depressive_disorder	Cellulitis	1
Hyperlipidemia	Metastasis	1
Multiple_sclerosis	Psychosis	1
Peptic_ulcer_disease	Myopia	1
Rectal_polyp	Aorta	1
Varicose_vein	Meniscus_(knee)	1
Xerostomia	Alcoholic_cirrhosis	1
