car	automobile	3.920
gem	jewel	3.840
journey	voyage	3.840
boy	lad	3.760
coast	shore	3.700
asylum	madhouse	3.610
magician	wizard	3.500
midday	noon	3.420
furnace	stove	3.110
food	fruit	3.080
bird	cock	3.050
bird	crane	2.970
tool	implement	2.950
brother	monk	2.820
lad	brother	1.660
crane	implement	1.680
journey	car	1.160
monk	oracle	1.100
food	rooster	0.890
coast	hill	0.870
forest	graveyard	0.840
monk	slave	0.550
coast	forest	0.420
lad	wizard	0.420
chord	smile	0.130
glass	magician	0.110
rooster	voyage	0.080
noon	string	0.080
