Carbatrol	Dilantin	797.5
Cardiomyopathy	Tylenol	417.25
Coccidioidomycosis	Histoplasmosis	1273
Leucovorin	Methotrexate	1111.25
Angina	Plavix	1294.75
Dyslipidemia	Atherosclerosis	1303.25
Rheumatism	null	833.5
Zofran	Ipecac_Syrup	990
Nystagmus	Urinary_incontinence	616.25
Emaciation	Carboplatin	708.75
Zovirax	Famvir	860.25
Insulin	Avandia	990.25
Cluttering	Mannerism	669
Nausea	Vomiting	1456.75
Ketonuria	Chyluria	704.75
Convulsion	Ethanol	1306.25
Parasitemia	Malaria	1277
Proteinuria	Diabetes	1439.5
Gastroenteritis	Cromolyn	776
Hypoproteinemia	Hunger	710.5
Insulin	GlucaGen	1261.5
Vomiting	Protonix	1306
Cataracts	Epilepsy	361
Cataracts	Wheezing	499.25
Methadone	Ultram	837.25
Diabetes	Psoriasis	787.5
Blanching	Pallor	1173.5
Thirsty	Lasix	1171.75
Photosensitization	Aphonia	441.25
Polyuria	Chyluria	964.75
Psoriasis	Meningism	470
Virilization	Drooling	663.75
Psoriasis	Arthritis	1168.75
Tuberculosis	Clubbed_thumb	865.75
Pancreatitis	Diabetes	1063.75
Coumadin	Vitamin_K	1441.25
Dementias	Psoriasis	582.25
Peritonitis	Facial_expression	804
Anemia	Iron	1469.25
Encephalitis	Meningism	1247
Exophthalmos	Hyperthyroidism	1470.5
Obesity	Diabetes	1417.25
Thromboembolism	Hemoptysis	778.25
Pneumonia	Ceftriaxone	1370.5
Cardura	Hytrin	906
Cataracts	Glucophage	573.75
Seizures	Carbatrol	998.5
Cardialgia	Nitroglycerine	1190
Cataracts	Insulin	463.75
Anemia	Reticulocytosis	1187
Convulsion	Carbatrol	1234.75
Garlic	Fish_oil	824
Dyslipidemia	Fish_oil	1355.5
Hemophilia	Hemoptysis	931.25
Nitroglycerine	Morphine	1126
Fibrillation	Angina	1248
Cefoxitin	Ceftriaxone	1295.5
Diabetes	Insulin	1485
Pallor	Aspirin	871.25
Earache	Crowning	253.25
Herpes	Cholestasis	525.75
Cardiomyopathy	Rogaine_(drug)	358.25
Asthenia	Weakness	1273
Endep	Prozac	770
Dyslipidemia	Cholestyramine	1261.5
Rabies	Acne	406.25
