Glaucoma	Fibrillation	279
Carbatrol	Dilantin	370.5
Cardiomyopathy	Tylenol	241
Herpes	Hyperthyroidism	142.5
Seasickness	Nausea	870.75
Coccidioidomycosis	Histoplasmosis	981.25
Angina	Plavix	673.75
Zofran	Ipecac_Syrup	294.25
Seizures	Insulin	332.75
Septicemia	Dyspnea	434.5
Nystagmus	Incontinence	365.75
Seasickness	Ethanol	465
Earache	Hyperacusis	760.25
Plague	Cholestyramine	255.25
Zovirax	Famvir	1052
Nausea	Vomiting	1039.25
Ketonuria	Chyluria	334.5
Convulsion	Ethanol	835.25
Parasitemia	Malaria	1239.25
Proteinuria	Diabetes	1047
Gastroenteritis	Cromolyn	391
Hypoproteinemia	Hunger	519.75
Spiriva	Serevent	1118.5
Ketonuria	Folic_Acid	383
Insulin	Glucagen	448.75
Cataracts	Wheezing	217.25
Methadone	Ultram	663.5
Diabetes	Psoriasis	412
Blanching	Pallor	1180.75
Thirsty	Lasix	935.25
Photosensitization	Aphonia	284.25
Polyuria	Chyluria	189.5
Psoriasis	Meningism	222.25
Virilism	Drooling	543
Comatose	Hepatitis	565
Sleeplessness	Agitation	882.5
Neuropathy	Glucophage	487.75
Psoriasis	Arthritis	1148.75
Tuberculosis	Clubbing	631.25
Obesity	Diabetes	1142.25
Thromboembolism	Hemoptysis	852
Pneumoniae	Ceftiaxone	867.25
Cardura	Hytrin	716.25
Cataracts	Glucophage	272.75
Cirrhosis	Banana_Bag	523
Seizures	Carbatrol	798
Cataracts	Insulin	391
Anemia	Reticulocytosis	897
Convulsion	Carbatrol	844
Osteoporosis	Prednisolone	755
Seizures	Dilantin	1001.75
Garlic	Fish_Oil	933.75
Dyslipidemia	Fish_Oil	921.5
Fibrillation	Angina	725.5
Cefoxitin	Ceftiaxone	1154.5
Deafness	Ataxia	582.75
Penicillin	Cefazolin	1078.75
Diabetes	Insulin	1155.25
Hemochromatosis	Anosmia	382
Ischemias	Mittelschmerz	398
Pallor	Aspirin	406.75
Earache	Crowning	367.75
Herpes	Cholestasis	475.25
Dyslipidemia	Cholestyramine	889.5
Rabies	Acne	256.25
Plague	Adenitis	816.25
Chyluria	Menouria	239
Alcohol	Antabuse	743
Codeine	Narcan	578.5
Coumadin	Aspirin	1019.75
Vancocin	Glucotrol	829.25
Coccidioses	Meningitis	791.25
Pallor	Coumadin	638.25
Aneurysm	Osteoporosis	231.25
Ischemias	Toprol-XR	823.75
Flatulence	Glucagen	727.5
Cefazolin	Keflex	1323
Osteoporosis	Thrombus	240.75
Encephalitis	Meningitis	1037.75
Hemophilia	Thromboembolism	450
Arthritis	Arthralgia	1091
Urethrorrhea	Tremor	342.5
Anovulation	Carboplatin	662.75
Albumin	Heparin	377.5
Polyuria	Insulin	766.75
Snoring	Stridor	492.75
Psoriasis	Coreg	194.75
Haemorrhoids	Infertility	191.25
Epilepsy	Phenobarbital	940.75
Epilepsy	Alcohol	566.75
Psoriasis	Spasm	221.25
Snoring	Loperamide	242
Arteriosclerosis	Cholestyramine	510.25
Myelosuppression	Snoring	358
Pneumoniae	Septicemia	959.25
Hernias	Dementia	237.75
Hematemesis	Vomiting	1012.25
Arthralgia	Pain	1206.25
Synthroid	Lidocaine	270.25
Pneumoniae	Dyspnea	833.75
Bandemia	Meningism	776.75
Glaucoma	Fibrillation	276
Seasickness	Carsickness	893.25
Arthralgia	Clubbing	317.5
Hemophilia	Glucotrol	169
Dysuria	Plavix	212.5
Underexertion	Virilism	294.5
Aneurysm	Silvadene	340.5
Colchicine	Prednisolone	851.25
Hernia	Sinemet	418
Overnutrition	Seizures	396.5
Cataracts	Pancreatitis	307.5
Ethanol	Alcohol	1265.5
Hyperthyroidism	Seizures	792.25
Esmolol	Amiodarone	1058.75
Infertility	Carboplatin	853.5
Arthralgia	Neuralgia	763.5
Anoxemia	Propofol	477.75
Dizziness	Atenolol	617.75
Pancreatitis	Insulin	749.5
Gastroenteritis	Insulin	351.75
Leukopenia	Cefaclor	343
Histoplasmosis	Prednisolone	290
Neuropathy	Constipation	477.25
Clubbing	Dyspnea	930.75
Hemiplegia	Plavix	704.5
Mycosis	Lipitor	300.5
Rheumatism	Colchicine	775.25
Dyspnea	Penicillin	384
Cirrhosis	Hematemesis	1040.25
Hemicrania	Headache	748.75
Loperamide	Dulcolax	767
Sluggishness	Fatigue	1186.5
Cardiomyopathies	Syncope	869.5
Anoxemia	Seizures	748
Seasickness	Ethanol	646
Dyslipidemia	Iron	239
Thalassemia	Tremor	231.5
Convulsion	Wellbutrin	869.25
Angina	Levophed	398.75
Myositis	Medrol	792.75
Anovulation	Mittelschmerz	558.25
Earache	Amoxil	855.25
Ischemias	Aloe_Vera	253.5
Bronchitis	Singulair	737.25
Lipitor	Lovastatin	1174.75
