1:	S=["Lady", "Grizel", "Baillie", "(\"née\"", "Hume;", "25", "December", "1665", "–", "6", "December", "1746)", "was", "a", "Scottish", "songwriter."]
	M=[[14, "Scotland"]]
2:	S=["Joanna", "Baillie", "(11", "September", "1762", "–", "23", "February", "1851)", "was", "a", "Scottish", "poet", "and", "dramatist.", "Baillie", "was", "very", "well", "known", "during", "her", "lifetime", "and,", "though", "a", "woman,", "intended", "her", "plays", "not", "for", "the", "closet", "but", "for", "the", "stage.", "Admired", "both", "for", "her", "literary", "powers", "and", "her", "sweetness", "of", "disposition,", "she", "hosted", "a", "literary", "society", "in", "her", "cottage", "at", "Hampstead.", "Baillie", "died", "at", "the", "age", "of", "88,", "her", "faculties", "remaining", "unimpaired", "to", "the", "last."]
	M=[[11, "Scottish people"]]
3:	S=["John", "Herbert", "\"Jackie\"", "Gleason", "(February", "26,", "1916", "–", "June", "24,", "1987)", "was", "an", "American", "comedian,", "actor,", "and", "musician", "who", "developed", "a", "style", "and", "characters", "in", "his", "career", "from", "growing", "up", "in", "Brooklyn, New York", ".", "He", "was", "known", "for", "his", "brash", "visual", "and", "verbal", "comedy", "style,", "exemplified", "by", "his", "character", "Ralph Kramden", "in", "the", "television", "series", "\"", "The Honeymooners", "\".", "By", "filming", "the", "episodes", "with", "Electronicam", ",", "Gleason", "later", "could", "release", "the", "series", "in", "syndication,", "building", "its", "popularity", "over", "the", "years", "with", "new", "audiences.", "He", "also", "developed", "\"", "The Jackie Gleason Show", ",\"", "which", "had", "the", "second-highest", "ratings", "in", "the", "country", "1954-1955,", "and", "which", "he", "produced", "over", "the", "years", "in", "variations,", "including", "in", "the", "venue", "of", "Miami, Florida", "after", "moving", "there."]
	M=[[31, "Brooklyn, New York"], [48, "Ralph Kramden"], [54, "The Honeymooners"], [61, "Electronicam"], [84, "The Jackie Gleason Show"], [109, "Miami, Florida"]]
4:	S=["There", "are", "many", "Roman", "sites", "in", "Great Britain", "are", "open", "to", "the", "public.", "There", "are", "also", "many", "sites", "that", "do", "not", "require", "special", "access,", "including", "Roman roads", ",", "and", "sites", "that", "have", "not", "been", "uncovered."]
	M=[[3, "Roman Empire"], [6, "Great Britain"], [24, "Roman roads in Britain"]]
5:	S=["Avitus", "(;", "c.", "380/395", "–", "after", "17", "October", "456", "or", "in", "457)", "was", "Western Roman Emperor", "from", "8", "or", "9", "July", "455", "to", "17", "October", "456.", "He", "was", "a", "senator", "and", "a", "high-ranking", "officer", "both", "in", "the", "civil", "and", "military", "administration,", "as", "well", "as", "Bishop of Piacenza", "."]
	M=[[13, "Western Roman Emperor"], [42, "Roman Catholic Diocese of Piacenza-Bobbio"]]
6:	S=["The", "Jewish", "exodus", "from", "Arab", "and", "Muslim", "countries", "or", "Jewish", "exodus", "from", "Arab", "countries", "(,", "\"Yetziat", "yehudim", "mi-medinot", "Arav\";", "\"\")", "was", "the", "departure,", "flight,", "expulsion,", "evacuation", "and", "migration,", "of", "850,000", "Jews,", "primarily", "of", "Sephardi", "and", "Mizrahi", "background,", "from", "Arab", "and", "Muslim countries", ",", "mainly", "from", "1948", "to", "the", "early", "1970s.", "They and their descendants", "make", "up", "the", "majority", "of", "Israeli Jews", "."]
	M=[[33, "Sephardi Jews"], [35, "Mizrahi Jews"], [38, "Arab countries"], [40, "Muslim countries"], [49, "Mizrahi Jews in Israel"], [55, "Israeli Jews"]]
7:	S=["Midwest", "Airlines", "(formerly", "Midwest", "Express)", "was", "a", "U.S.", "-based", "airline", "and", "was", "also", "an", "operating", "brand", "of", "Republic Airways Holdings", "based", "in", "Oak Creek", ",", "Wisconsin", ",", "operating", "from", "Milwaukee's", "General Mitchell International Airport", ".", "On", "April", "13,", "2010,", "parent", "company", "Republic", "announced", "that", "Midwest", "Airlines", "and", "Frontier Airlines", "would", "merge,", "with", "the", "Midwest", "brand", "disappearing", "in", "late", "2011."]
	M=[[7, "United States"], [17, "Republic Airways Holdings"], [20, "Oak Creek, Wisconsin"], [22, "Wisconsin"], [27, "General Mitchell International Airport"], [41, "Frontier Airlines"]]
8:	S=["Ostvorpommern", "was", "a", "\"Kreis\"", "(district)", "in", "the", "eastern", "part", "of", "Mecklenburg-Vorpommern", ",", "Germany", ".", "The", "district", "was", "created", "on", "June", "12,", "1994", "by", "merging", "the", "former", "districts", "of", "Anklam,", "Greifswald", "and", "Wolgast.", "It", "was", "merged", "into", "Vorpommern-Greifswald", "on", "4", "September", "2011."]
	M=[[10, "Mecklenburg-Vorpommern"], [12, "Germany"], [36, "Vorpommern-Greifswald"]]
9:	S=["Lothian", "(;", ")", "is", "a", "region", "of", "the", "Scottish Lowlands", ",", "lying", "between", "the", "southern", "shore", "of", "the", "Firth of Forth", "and", "the", "Lammermuir Hills", ".", "The", "principal", "settlement", "is", "the", "Scottish", "capital,", "Edinburgh", ",", "while", "other", "significant", "towns", "include", "Livingston", ",", "Linlithgow", ",", "Queensferry", ",", "Dalkeith", ",", "Musselburgh", ",", "North Berwick", ",", "Dunbar", ",", "and", "Haddington", "."]
	M=[[8, "Scottish Lowlands"], [17, "Firth of Forth"], [20, "Lammermuir Hills"], [29, "Edinburgh"], [36, "Livingston, West Lothian"], [38, "Linlithgow"], [40, "South Queensferry"], [42, "Dalkeith"], [44, "Musselburgh"], [46, "North Berwick"], [48, "Dunbar"], [51, "Haddington, East Lothian"]]
10:	S=["William", "Bainbridge", "(May", "7,", "1774", "–", "July", "27,", "1833)", "was", "a", "Commodore", "in", "the", "United States Navy", ".", "During", "his", "long", "career", "in", "the", "young", "American", "Navy", "he", "served", "under", "six", "presidents", "beginning", "with", "John Adams", "and", "is", "notable", "for", "his", "many", "victories", "at", "sea.", "He", "commanded", "several", "famous", "naval", "ships,", "including", "and", "saw", "service", "in", "the", "Barbary Wars", "and", "the", "War of 1812", ".", "Bainbridge", "was", "also", "in", "command", "of", "when", "it", "grounded", "off", "the", "shores", "of", "Tripoli", "in", "North", "Africa,", "resulting", "in", "his", "capture", "and", "imprisonment", "for", "many", "months.", "In", "the", "latter", "part", "of", "his", "career", "he", "became", "the", "U.S.", "Naval", "Commissioner."]
	M=[[11, "Commodore (United States)"], [14, "United States Navy"], [32, "John Adams"], [54, "Barbary Wars"], [57, "War of 1812"], [72, "Tripoli"]]
11:	S=["Giuseppe", "Baini", "(October", "21,", "1775", "–", "May", "21,", "1844)", "was", "an", "Italian", "priest,", "music", "critic,", "and", "composer", "of", "church", "music."]
	M=[[11, "Italy"]]
12:	S=["Synesius", "(;", "c.", "373", "–", "c.", "414),", "a", "Greek", "bishop", "of", "Ptolemais", "in", "the", "Libya", "n", "Pentapolis", "after", "410,", "was", "born", "of", "wealthy", "parents,", "who", "claimed", "descent", "from", "Sparta", "n", "kings,", "at", "Balagrae", "(", "Bayda", "now)", "near", "Cyrene", "between", "370", "and", "375."]
	M=[[8, "Greeks"], [11, "Ptolemais (Cyrenaica)"], [14, "Ancient Libya"], [16, "Pentapolis"], [28, "Sparta"], [32, "Balagrae"], [34, "Bayda, Libya"], [37, "Cyrene, Libya"]]
13:	S=["Santa", "Claus", "Conquers", "the", "Martians", "is", "a", "1964", "science", "fiction", "comedy", "film", "that", "regularly", "appears", "on", "lists", "of", "the", "worst films ever made", ".", "It", "is", "regularly", "featured", "in", "the", "\"bottom", "100\"", "list", "on", "the", "Internet Movie Database", ",", "and", "was", "featured", "in", "an", "episode", "of", "the", "1986", "syndicated", "series,", "the", "\"", "Canned Film Festival", "\".", "It", "was", "directed", "by", "Nicholas Webster", ",", "and", "it", "stars", "John", "Call", "as", "Santa Claus", ".", "It", "also", "includes", "an", "8-year-old", "Pia Zadora", "playing", "the", "role", "of", "one", "of", "the", "Martian", "children", "and", "also", "marks", "the", "first", "documented", "appearance", "of", "Mrs. Claus", "in", "a", "motion", "picture", "(Doris", "Rich", "plays", "the", "role),", "coming", "three", "weeks", "before", "the", "TV", "special", "\"", "Rudolph the Red-Nosed Reindeer", "\"", "also", "featured", "the", "character."]
	M=[[19, "List of films considered the worst"], [32, "Internet Movie Database"], [47, "Canned Film Festival"], [53, "Nicholas Webster"], [61, "Santa Claus"], [68, "Pia Zadora"], [86, "Mrs. Claus"], [104, "Rudolph the Red-Nosed Reindeer (TV special)"]]
14:	S=["HyperTransport", "(HT),", "formerly", "known", "as", "Lightning", "Data", "Transport", "(LDT),", "is", "a", "technology", "for", "interconnection", "of", "computer", "processors.", "It", "is", "a", "bidirectional", "serial/parallel", "high-bandwidth,", "low-latency", "point-to-point link", "that", "was", "introduced", "on", "April", "2,", "2001.", "The", "HyperTransport Consortium", "is", "in", "charge", "of", "promoting", "and", "developing", "HyperTransport", "technology."]
	M=[[23, "Memory latency"], [24, "Point-to-point (telecommunications)"], [33, "HyperTransport Consortium"]]
